publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2015,Caso principal,12.2
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2015,Caso principal,403.19
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2015,Caso principal,11.88
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2015,Caso principal,1216.04
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2015,Caso principal,116.75
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2015,Caso principal,122.39
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2016,Caso principal,115.25
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2016,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2016,Caso principal,4.86
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2016,Caso principal,14.77
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2016,Caso principal,452.76
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2016,Caso principal,12.2
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2016,Caso principal,1249.56
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2016,Caso principal,178.72
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2016,Caso principal,143.26
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2017,Caso principal,121.66
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2017,Caso principal,0.55
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2017,Caso principal,4.96
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2017,Caso principal,18.51
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2017,Caso principal,496.65
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2017,Caso principal,12.79
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2017,Caso principal,1272.74
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2017,Caso principal,248.39
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2017,Caso principal,182.04
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2018,Caso principal,129.74
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2018,Caso principal,0.55
